# 过滤后保留的可回测指数（共 727 个：行业 212 + 主题 515）
# 过滤规则: 6条(见 spec §2.2)，规则3含 name 币种过滤
# 格式: ts_code | name | category | list_date

    950075.CSI  |  沪现代农  |  主题指数  |  20150713
    H50013.CSI  |  沪珠三角  |  主题指数  |  20120927
    H50031.CSI  |  沪绿色城  |  主题指数  |  20130826
    950086.CSI  |  沪自贸区  |  主题指数  |  20151127
    H50015.CSI  |  沪西部  |  主题指数  |  20120927
    950088.CSI  |  沪轻资产  |  主题指数  |  20151127
    H50012.CSI  |  沪长三角  |  主题指数  |  20120927
    931248.CSI  |  油气资源  |  主题指数  |  20230612
    H00019.CSI  |  治理收益  |  主题指数  |  20080102
    000839.CSI  |  浙企综指  |  主题指数  |  20121109
    931163.CSI  |  浙江100  |  主题指数  |  20190425
    931372.CSI  |  浙江国资  |  主题指数  |  20191209
    931127.CSI  |  浙江新动能  |  主题指数  |  20190122
    000840.CSI  |  浙江民企  |  主题指数  |  20121109
    932050.CSI  |  浦东绿色50ESG  |  主题指数  |  20230508
    931273.CSI  |  海南指数  |  主题指数  |  20191018
    932056.CSI  |  海洋经济  |  主题指数  |  20240723
    930853.CSI  |  海绵城市  |  主题指数  |  20160720
    000806.CSI  |  消费服务  |  主题指数  |  20120210
    931494.CSI  |  消费电子  |  主题指数  |  20200612
    931068.CSI  |  消费龙头  |  主题指数  |  20181121
    H30537.CSI  |  淘金100  |  主题指数  |  20150121
    931136.CSI  |  深圳科技  |  主题指数  |  20190122
    930612.CSI  |  混合改革  |  主题指数  |  20150407
    931991.CSI  |  渝农商理财成渝经济圈先进制造  |  主题指数  |  20220712
    931989.CSI  |  渝农商理财成渝经济圈发展  |  主题指数  |  20220712
    931990.CSI  |  渝农商理财成渝经济圈消费  |  主题指数  |  20220712
    930923.CSI  |  港中国中小  |  主题指数  |  20180928
    930746.CSI  |  港中小企  |  主题指数  |  20150826
    931734.CSI  |  港美上市中美科技  |  主题指数  |  20140718
    931900.CSI  |  港美智能汽车  |  主题指数  |  20220706
    931901.CSI  |  港美智能驾驶  |  主题指数  |  20220712
    931393.CSI  |  湖北指数  |  主题指数  |  20200204
    931599.CSI  |  湖南50  |  主题指数  |  20241030
    931838.CSI  |  煤炭产业  |  主题指数  |  20120411
    H01060.CSI  |  物流产业  |  主题指数  |  20090722
    H11060.CSI  |  物流产业  |  主题指数  |  20090722
    930614.CSI  |  环保50  |  主题指数  |  20150407
    930835.CSI  |  环保专利  |  主题指数  |  20160518
    H30001.CSI  |  环渤海  |  主题指数  |  20120927
    931776.CSI  |  生物育种  |  主题指数  |  20211109
    931845.CSI  |  生猪产业  |  主题指数  |  20120411
    930705.CSI  |  电商数据  |  主题指数  |  20150722
    931461.CSI  |  电子50  |  主题指数  |  20090722
    931483.CSI  |  电子科技50  |  主题指数  |  20200612
    H30190.CSI  |  电子设备  |  主题指数  |  20130715
    931994.CSI  |  电网设备主题  |  主题指数  |  20221011
    931946.CSI  |  畜牧养殖  |  主题指数  |  20230728
    931992.CSI  |  疫苗生物  |  主题指数  |  20130715
    H01057.CSI  |  石化产业  |  主题指数  |  20090722
    H11057.CSI  |  石化产业  |  主题指数  |  20090722
    931772.CSI  |  碳中和60  |  主题指数  |  20211109
    931834.CSI  |  福建100  |  主题指数  |  20240119
    930703.CSI  |  福建50  |  主题指数  |  20150709
    950180.CSI  |  科创AI  |  主题指数  |  20240725
    950357.CSI  |  科创专精特新  |  主题指数  |  20250721
    932456.CSI  |  科创创业AI  |  主题指数  |  20250514
    932545.CSI  |  科创创业创新药  |  主题指数  |  20251107
    932553.CSI  |  科创创业医疗器械  |  主题指数  |  20251107
    932448.CSI  |  科创创业半导体  |  主题指数  |  20250620
    932461.CSI  |  科创创业新能源  |  主题指数  |  20250513
    932438.CSI  |  科创创业机器人  |  主题指数  |  20250516
    932391.CSI  |  科创创业生物医药  |  主题指数  |  20250513
    950255.CSI  |  科创医疗  |  主题指数  |  20240725
    950125.CSI  |  科创半导体材料设备  |  主题指数  |  20240726
    950161.CSI  |  科创新药  |  主题指数  |  20240823
    950363.CSI  |  科创民企  |  主题指数  |  20250723
    950162.CSI  |  科创芯片设计  |  主题指数  |  20240726
    950332.CSI  |  科创计算机  |  主题指数  |  20250527
    931187.CSI  |  科技100  |  主题指数  |  20190530
    931380.CSI  |  科技50  |  主题指数  |  20191125
    H30318.CSI  |  科技传媒通信150  |  主题指数  |  20140415
    931447.CSI  |  科技先锋  |  主题指数  |  20200421
    931087.CSI  |  科技龙头  |  主题指数  |  20190320
    930598.CSI  |  稀土产业  |  主题指数  |  20150302
    930875.CSI  |  空天军工  |  主题指数  |  20160817
    931058.CSI  |  竞争优势  |  主题指数  |  20180104
    H30531.CSI  |  精工制造  |  主题指数  |  20141218
    931669.CSI  |  精选市场生物科技  |  主题指数  |  20250227
    931921.CSI  |  精选市场电动车  |  主题指数  |  20250227
    931657.CSI  |  精选市场算力  |  主题指数  |  20250227
    931493.CSI  |  精选市场金矿  |  主题指数  |  20231101
    H01053.CSI  |  纺织产业  |  主题指数  |  20090722
    H11053.CSI  |  纺织产业  |  主题指数  |  20090722
    931480.CSI  |  线上消费  |  主题指数  |  20200506
    000813.CSI  |  细分化工  |  主题指数  |  20120411
    000816.CSI  |  细分地产  |  主题指数  |  20120411
    000811.CSI  |  细分有色  |  主题指数  |  20120411
    000812.CSI  |  细分机械  |  主题指数  |  20120411
    000818.CSI  |  细分金融  |  主题指数  |  20120411
    000815.CSI  |  细分食品  |  主题指数  |  20120411
    H30139.CSI  |  绿色城镇  |  主题指数  |  20130826
    930956.CSI  |  绿色投资  |  主题指数  |  20170526
    931800.CSI  |  绿色生态  |  主题指数  |  20151021
    931851.CSI  |  绿色电力50  |  主题指数  |  20220509
    931733.CSI  |  绿色能源  |  主题指数  |  20210819
    931037.CSI  |  绿色领先  |  主题指数  |  20180104
    931006.CSI  |  老年消费  |  主题指数  |  20170721
    H30172.CSI  |  耐用服装  |  主题指数  |  20130715
    931057.CSI  |  股权激励  |  主题指数  |  20180104
    931826.CSI  |  自主创新  |  主题指数  |  20150707
    932536.CSI  |  航运发展  |  主题指数  |  20250618
    H11055.CSI  |  船舶产业  |  主题指数  |  20090722
    930764.CSI  |  艾瑞中国互联网  |  主题指数  |  20151207
    H30007.CSI  |  芯片产业  |  主题指数  |  20121220
    932040.CSI  |  芯片设计  |  主题指数  |  20210825
    932057.CSI  |  苏州创新50  |  主题指数  |  20230109
    931857.CSI  |  苏州制造100  |  主题指数  |  20220704
    932263.CSI  |  苏州园区  |  主题指数  |  20240318
    931858.CSI  |  苏州综指  |  主题指数  |  20220704
    931478.CSI  |  苏州绿色发展  |  主题指数  |  20200925
    931559.CSI  |  苏银理财长三角  |  主题指数  |  20200827
    931557.CSI  |  苏锡常指  |  主题指数  |  20200827
    930699.CSI  |  萧何重组  |  主题指数  |  20150716
    931126.CSI  |  蓝天环境改善(欧元)  |  主题指数  |  20181121
